OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
108091;5;3;15;0;2019;5;21;6;2;0;1;2;1;0;0;0;0;0;355173,648595148700000;5651727,421461878300000;6,936010211000053;50,998875319000035;0
108092;5;5;13;0;2019;5;15;4;3;5;3;0;1;1;0;0;0;0;366552,027728009040000;5714542,785003691900000;7,074600896000050;51,566151104000028;0
108095;5;3;70;20;2019;5;17;4;3;0;3;0;1;1;0;0;0;0;306602,220232042480000;5654408,693037925300000;6,243116641000029;51,008688336000034;0
108097;5;7;70;24;2019;5;12;6;3;3;2;0;1;1;0;0;0;0;491802,476800973530000;5793592,794764377200000;8,879805236000038;52,292628432000072;0
108118;5;1;62;24;2019;5;7;6;3;3;6;0;1;1;0;0;0;0;342284,679536281150000;5671888,190587665900000;6,743667716000061;51,176640067000051;0
108123;5;3;16;0;2019;5;13;4;3;4;6;0;1;0;0;0;0;0;362027,365836249660000;5656208,427265739100000;7,031917858000043;51,040831112000035;0
108124;5;3;82;56;2019;5;15;5;3;0;7;0;1;0;0;0;0;0;370913,004394255580000;5627214,363077944100000;7,168850513000052;50,782297281000069;0
108126;5;3;16;0;2019;5;14;4;3;5;2;0;1;0;0;0;0;1;357214,362034030260000;5657460,980543913300000;6,962815533000025;51,050911558000053;0
108128;5;1;13;0;2019;5;14;6;1;5;2;0;1;1;0;0;0;0;357534,622623200530000;5703376,704767361300000;6,949096842000074;51,463607595000042;1
108129;5;3;58;32;2019;5;7;6;3;3;3;0;1;1;0;0;0;0;315127,876691081560000;5632672,827045287900000;6,375521327000058;50,816234864000080;1
108133;5;1;24;0;2019;5;15;7;3;0;1;0;1;0;0;0;0;0;372987,794038535100000;5678387,282832328200000;7,180350479000026;51,242696971000044;1
108134;5;3;15;0;2019;5;20;4;3;6;4;1;1;0;1;0;0;0;353715,003733492460000;5646403,006193015700000;6,917379153000070;50,950658023000074;0
108137;5;3;15;0;2019;5;17;4;3;5;2;0;1;0;0;0;0;1;354260,704872175120000;5640287,465865159400000;6,927586790000021;50,895837586000027;0
108138;5;3;62;24;2019;5;17;5;3;5;3;0;1;0;0;0;0;0;344000,445999999530000;5645383,823000000800000;6,779619688000025;50,938952634000032;0
108139;5;3;62;12;2019;5;14;6;3;4;6;0;1;0;0;0;0;0;352583,150198207240000;5631369,208444001200000;6,907340197000053;50,815266022000060;0
108141;5;3;82;64;2019;5;17;4;3;5;3;0;1;1;0;0;0;0;355985,041000000200000;5614891,241000002300000;6,962039381000068;50,668031346000078;0
108143;5;7;70;20;2019;5;10;7;3;5;3;0;1;1;0;0;0;0;471910,518824614580000;5794751,898330550600000;8,588051450000023;52,302392166000061;0
108150;5;3;14;0;2019;5;7;4;3;5;2;0;1;1;0;0;0;0;367362,878820577640000;5623874,677171070100000;7,119723144000034;50,751478924000025;0
108155;5;3;14;0;2019;5;7;4;3;5;2;0;1;1;0;0;0;0;367363,558999999430000;5623869,276000004300000;7,119734726000047;50,751430534000065;0
