OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
205183;5200405500200775207;5;1;11;0;2020;4;17;1;3;0;7;0;1;0;0;0;0;0;343420,886500000020000;5687215,562300000300000;6,753205704000038;51,314672144000042;0
205184;5200407513210863496;5;1;62;24;2020;4;16;3;3;5;3;0;1;1;0;0;0;0;337884,731999999840000;5670807,879000000700000;6,681262085000071;51,165703145000066;0
205186;5200401310110080517;5;9;54;16;2020;4;9;4;3;5;3;0;1;1;0;0;0;0;370072,051799999550000;5696235,097799999600000;7,132095031000063;51,402442834000055;0
205188;5200401301401469203;5;9;13;0;2020;4;7;4;2;5;3;0;1;1;0;0;0;0;396905,324199999680000;5707405,949400000300000;7,514449213000034;51,508367658000054;0
205191;5200404702100134200;5;5;15;0;2020;4;15;7;3;8;5;0;1;0;0;0;0;1;406510,815700000150000;5751622,276000000500000;7,640956425000070;51,907494626000073;0
205194;5200408301501443203;5;9;13;0;2020;4;19;4;3;2;6;0;1;1;0;0;0;0;389825,747999999670000;5706691,414999999100000;7,412699479000025;51,500609222000037;0
205197;5200404500300675205;5;1;11;0;2020;4;15;7;3;2;1;0;1;0;0;0;0;0;344274,713000000450000;5674611,474999999600000;6,770933891000027;51,201655292000055;0
205198;5200331705000076646;5;5;54;48;2020;3;13;3;2;0;3;0;1;1;0;0;0;0;340713,790500000120000;5744791,878499999600000;6,688289284000064;51,831207945000074;0
205199;5200406513210362143;5;1;62;24;2020;4;6;2;2;5;3;0;1;0;0;0;1;0;338095,691300000060000;5677005,675899999200000;6,681482344000074;51,221449109000048;0
205200;5200403316100282205;5;9;74;40;2020;4;12;6;2;5;2;0;1;1;0;0;0;0;437422,386599999850000;5712876,648900000400000;8,097207341000058;51,563492903000054;1
